Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T002_001,SE_T002_002,SE_T002_003,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T215_001,SE_T215_002,SE_T215_003,SE_T215_004,SE_T215_005,SE_T215_006,SE_T215_007,SE_T215_008,SE_T215_009,SE_T215_010,SE_T104_001,SE_T236_001,SE_T236_002,SE_T236_003,SE_T236_004,SE_T236_005,SE_T236_006,SE_T236_007,SE_T236_008,SE_T236_009,SE_T236_010,SE_T236_011,SE_T145_001,SE_T145_002,SE_T145_003,SE_T145_004,SE_T145_005
"06001401100","14000US06001401100","Census Tract 4011, Alameda County, California","Census Tract 4011, Alameda County, California","ca","140","00","ACSSF","0002709",,,,,"06","001",,,,"401100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4138,12133.7,0.341033626410624,4138,2391,704,0,622,0,92,329,4138,3683,2130,669,0,622,0,0,262,455,261,35,0,0,0,92,67,1500,88,542,413,125,101,113,88,16,14,1324,1500,16,0,87,152,698,346,103,13,48,37,4138,486,3652,779,3129
"06001401200","14000US06001401200","Census Tract 4012, Alameda County, California","Census Tract 4012, Alameda County, California","ca","140","00","ACSSF","0002710",,,,,"06","001",,,,"401200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2614,10167.4,0.257096171874155,2614,1648,373,19,186,0,142,246,2614,2176,1486,366,10,186,0,0,128,438,162,7,9,0,0,142,118,794,32,307,185,120,27,47,40,36,0,1371,794,42,0,45,146,251,137,119,29,17,8,2584,111,2473,540,2118
"06001401300","14000US06001401300","Census Tract 4013, Alameda County, California","Census Tract 4013, Alameda County, California","ca","140","00","ACSSF","0002711",,,,,"06","001",,,,"401300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3976,11995.69,0.331452500938228,3976,1470,1300,37,709,0,188,272,3976,3470,1287,1289,28,709,0,0,157,506,183,11,9,0,0,188,115,1476,48,466,348,152,63,102,210,78,9,972,1476,145,87,281,234,378,180,110,16,0,45,3683,886,2797,1199,1789
"06001401400","14000US06001401400","Census Tract 4014, Alameda County, California","Census Tract 4014, Alameda County, California","ca","140","00","ACSSF","0002712",,,,,"06","001",,,,"401400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4108,14032.04,0.292758499267178,4108,1341,1620,100,369,27,436,215,4108,2963,691,1620,78,352,27,36,159,1145,650,0,22,17,0,400,56,1317,55,284,410,150,173,65,49,113,18,982,1317,167,87,163,255,388,184,56,0,0,17,4108,709,3399,2108,1458
"06001401500","14000US06001401500","Census Tract 4015, Alameda County, California","Census Tract 4015, Alameda County, California","ca","140","00","ACSSF","0002713",,,,,"06","001",,,,"401500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2605,14416.52,0.180695431793506,2605,1090,1014,6,189,23,145,138,2605,2291,957,1009,4,189,23,0,109,314,133,5,2,0,0,145,29,655,44,148,134,86,68,55,76,44,0,1029,655,42,43,180,48,125,72,76,42,10,17,2605,461,2144,971,1350
"06001401600","14000US06001401600","Census Tract 4016, Alameda County, California","Census Tract 4016, Alameda County, California","ca","140","00","ACSSF","0002714",,,,,"06","001",,,,"401600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2173,8848.18,0.24558723824203,2173,910,713,11,233,65,82,159,2173,1695,554,713,0,233,65,20,110,478,356,0,11,0,0,62,49,611,62,182,140,107,43,25,40,12,0,1183,611,10,41,97,49,222,78,89,20,0,5,2173,302,1871,1071,998
"06001401700","14000US06001401700","Census Tract 4017, Alameda County, California","Census Tract 4017, Alameda County, California","ca","140","00","ACSSF","0002715",,,,,"06","001",,,,"401700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2679,1207.822,2.21804270907819,2679,1217,642,0,275,0,443,102,2679,1837,851,642,0,267,0,0,77,842,366,0,0,8,0,443,25,626,70,266,112,45,60,26,23,0,24,1229,626,43,0,124,87,82,126,102,32,0,30,2663,245,2418,962,1593
"06001401800","14000US06001401800","Census Tract 4018, Alameda County, California","Census Tract 4018, Alameda County, California","ca","140","00","ACSSF","0002716",,,,,"06","001",,,,"401800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866,16183.41,0.115303236926194,1866,607,814,0,43,0,148,254,1866,1505,510,798,0,43,0,5,149,361,97,16,0,0,0,143,105,563,52,280,73,75,11,14,18,33,7,944,563,79,24,120,80,132,58,18,12,18,22,1866,310,1556,855,890
"06001402200","14000US06001402200","Census Tract 4022, Alameda County, California","Census Tract 4022, Alameda County, California","ca","140","00","ACSSF","0002717",,,,,"06","001",,,,"402200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2406,8751.127,0.274936022869604,2406,972,768,17,341,37,168,103,2406,1861,652,768,17,341,37,0,46,545,320,0,0,0,0,168,57,539,24,152,137,86,12,29,57,34,8,956,539,45,58,89,98,72,125,31,9,12,0,2406,376,2030,1029,1150
"06001402400","14000US06001402400","Census Tract 4024, Alameda County, California","Census Tract 4024, Alameda County, California","ca","140","00","ACSSF","0002718",,,,,"06","001",,,,"402400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2773,21306.69,0.130146935043715,2773,684,1596,16,303,9,72,93,2773,2536,605,1539,15,303,9,0,65,237,79,57,1,0,0,72,28,958,0,318,159,117,31,40,176,80,37,840,958,163,139,106,193,182,102,37,0,0,36,2754,371,2383,1150,1527
"06001402500","14000US06001402500","Census Tract 4025, Alameda County, California","Census Tract 4025, Alameda County, California","ca","140","00","ACSSF","0002719",,,,,"06","001",,,,"402500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833,12990.55,0.141102584259078,1833,300,1205,14,79,0,90,145,1833,1480,155,1171,0,79,0,0,75,353,145,34,14,0,0,90,70,602,61,199,141,100,4,36,46,0,15,746,602,202,54,53,50,186,49,8,0,0,0,1833,204,1629,1132,699
"06001402600","14000US06001402600","Census Tract 4026, Alameda County, California","Census Tract 4026, Alameda County, California","ca","140","00","ACSSF","0002720",,,,,"06","001",,,,"402600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272,10332.59,0.123105589678408,1272,272,327,2,598,0,41,32,1272,1178,219,327,2,598,0,5,27,94,53,0,0,0,0,36,5,553,15,123,88,59,32,50,80,81,25,801,553,145,81,48,86,96,46,38,9,0,4,1272,168,1104,659,487
"06001402700","14000US06001402700","Census Tract 4027, Alameda County, California","Census Tract 4027, Alameda County, California","ca","140","00","ACSSF","0002721",,,,,"06","001",,,,"402700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734,11260.82,0.15398526942982,1734,634,628,33,175,0,120,144,1734,1338,477,617,11,175,0,11,47,396,157,11,22,0,0,109,97,599,63,143,154,122,18,37,32,9,21,1072,599,39,78,74,89,128,85,75,31,0,0,1734,223,1511,689,861
"06001402800","14000US06001402800","Census Tract 4028, Alameda County, California","Census Tract 4028, Alameda County, California","ca","140","00","ACSSF","0002722",,,,,"06","001",,,,"402800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3798,24696.15,0.153789129524924,3798,1061,1603,36,802,0,76,220,3798,3461,912,1582,13,802,0,0,152,337,149,21,23,0,0,76,68,2165,118,458,329,325,169,214,327,136,89,771,2165,432,282,379,237,164,175,203,201,47,45,3773,487,3286,1781,1634
"06001402900","14000US06001402900","Census Tract 4029, Alameda County, California","Census Tract 4029, Alameda County, California","ca","140","00","ACSSF","0002723",,,,,"06","001",,,,"402900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392,9201.818,0.15127444605921,1392,369,286,46,534,0,80,77,1392,1225,326,286,33,514,0,0,66,167,43,0,13,20,0,80,11,848,25,250,137,92,49,43,119,65,68,886,848,130,58,164,177,235,74,5,0,0,5,1392,254,1138,528,677
"06001403000","14000US06001403000","Census Tract 4030, Alameda County, California","Census Tract 4030, Alameda County, California","ca","140","00","ACSSF","0002724",,,,,"06","001",,,,"403000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3167,23276.48,0.136060089853698,3167,240,139,39,2607,69,46,27,3167,3111,210,139,39,2607,69,20,27,56,30,0,0,0,0,26,0,1261,18,146,151,134,132,31,217,247,185,631,1261,189,322,123,114,245,184,24,0,0,60,3167,224,2943,1978,1218
"06001403100","14000US06001403100","Census Tract 4031, Alameda County, California","Census Tract 4031, Alameda County, California","ca","140","00","ACSSF","0002725",,,,,"06","001",,,,"403100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721,12850.93,0.133920311599899,1721,491,302,36,746,6,85,55,1721,1550,436,302,29,739,6,0,38,171,55,0,7,7,0,85,17,516,19,138,107,53,38,49,53,37,22,909,516,3,99,112,73,33,95,44,28,25,4,1427,102,1325,601,877
"06001403300","14000US06001403300","Census Tract 4033, Alameda County, California","Census Tract 4033, Alameda County, California","ca","140","00","ACSSF","0002726",,,,,"06","001",,,,"403300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4159,11744.28,0.354129826084136,4159,978,401,19,2266,0,187,308,4159,3843,849,401,19,2266,0,0,308,316,129,0,0,0,0,187,0,1672,109,492,303,234,193,64,124,137,16,1414,1672,77,32,144,293,340,156,419,116,45,50,4142,429,3713,1734,2302
"06001403400","14000US06001403400","Census Tract 4034, Alameda County, California","Census Tract 4034, Alameda County, California","ca","140","00","ACSSF","0002727",,,,,"06","001",,,,"403400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360,16955.71,0.257140573624279,4360,1807,971,47,1097,0,124,314,4360,3984,1634,957,47,1097,0,41,208,376,173,14,0,0,0,83,106,2470,162,709,556,285,94,178,161,116,209,1135,2470,100,132,333,297,808,417,126,78,117,62,4337,571,3766,1594,2832
"06001403501","14000US06001403501","Census Tract 4035.01, Alameda County, California","Census Tract 4035.01, Alameda County, California","ca","140","00","ACSSF","0002728",,,,,"06","001",,,,"403501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4435,17184.44,0.258082276829082,4435,1640,1091,72,1022,0,74,536,4435,3902,1468,1059,43,1022,0,0,310,533,172,32,29,0,0,74,226,2255,68,563,657,120,146,128,286,137,150,1010,2255,277,125,364,333,609,291,132,46,50,28,4435,467,3968,1906,2304
"06001403502","14000US06001403502","Census Tract 4035.02, Alameda County, California","Census Tract 4035.02, Alameda County, California","ca","140","00","ACSSF","0002729",,,,,"06","001",,,,"403502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2081,29539.27,0.0704485889509913,2081,1137,423,0,338,0,84,99,2081,1909,1075,423,0,313,0,0,98,172,62,0,0,25,0,84,1,903,16,345,214,85,65,98,80,0,0,1426,903,0,6,28,43,463,260,56,36,0,11,2081,188,1893,454,1611
"06001403600","14000US06001403600","Census Tract 4036, Alameda County, California","Census Tract 4036, Alameda County, California","ca","140","00","ACSSF","0002730",,,,,"06","001",,,,"403600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4751,31569.34,0.150494133563553,4751,2042,1457,35,566,4,153,494,4751,4152,1798,1372,35,566,4,14,363,599,244,85,0,0,0,139,131,2140,55,885,698,284,38,37,102,29,12,1317,2140,12,0,35,261,1207,393,190,16,10,16,4641,326,4315,1298,3404
"06001403701","14000US06001403701","Census Tract 4037.01, Alameda County, California","Census Tract 4037.01, Alameda County, California","ca","140","00","ACSSF","0002731",,,,,"06","001",,,,"403701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2755,41020.64,0.0671613150331198,2755,1719,473,0,241,0,90,232,2755,2465,1524,473,0,241,0,28,199,290,195,0,0,0,0,62,33,1472,13,496,385,176,47,66,85,92,112,1306,1472,11,35,11,179,887,250,85,14,0,0,2716,391,2325,596,2035
"06001403702","14000US06001403702","Census Tract 4037.02, Alameda County, California","Census Tract 4037.02, Alameda County, California","ca","140","00","ACSSF","0002732",,,,,"06","001",,,,"403702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027,26143.26,0.0775343360664219,2027,1259,175,0,279,36,130,148,2027,1780,1184,175,0,279,36,0,106,247,75,0,0,0,0,130,42,847,10,324,227,118,31,48,56,33,0,1621,847,0,0,40,99,182,404,84,18,10,10,2027,76,1951,524,1626
"06001403800","14000US06001403800","Census Tract 4038, Alameda County, California","Census Tract 4038, Alameda County, California","ca","140","00","ACSSF","0002733",,,,,"06","001",,,,"403800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3323,13191.12,0.251911977970554,3323,2359,254,0,384,0,40,286,3323,3043,2140,254,0,384,0,13,252,280,219,0,0,0,0,27,34,1221,41,497,354,124,39,50,89,18,9,1477,1221,10,17,61,131,405,365,143,45,26,18,3323,275,3048,556,2750
"06001403900","14000US06001403900","Census Tract 4039, Alameda County, California","Census Tract 4039, Alameda County, California","ca","140","00","ACSSF","0002734",,,,,"06","001",,,,"403900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3938,20684.1,0.1903877546923,3938,2237,687,12,689,0,97,216,3938,3779,2153,671,12,689,0,38,216,159,84,16,0,0,0,59,0,1472,33,467,305,136,97,180,125,82,47,1379,1472,0,55,36,142,632,287,62,115,143,0,3938,269,3669,1116,3228
"06001404000","14000US06001404000","Census Tract 4040, Alameda County, California","Census Tract 4040, Alameda County, California","ca","140","00","ACSSF","0002735",,,,,"06","001",,,,"404000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2932,20611.42,0.142251238229675,2932,1852,190,5,315,31,271,268,2932,2502,1742,177,5,315,31,43,189,430,110,13,0,0,0,228,79,1161,96,463,280,134,96,26,56,10,0,1323,1161,10,0,9,101,674,244,57,0,27,39,2932,293,2639,527,2413
"06001404101","14000US06001404101","Census Tract 4041.01, Alameda County, California","Census Tract 4041.01, Alameda County, California","ca","140","00","ACSSF","0002736",,,,,"06","001",,,,"404101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3187,14437.17,0.220749671427049,3187,2245,176,8,379,0,69,310,3187,2971,2092,176,8,379,0,37,279,216,153,0,0,0,0,32,31,1018,79,314,240,90,36,56,57,49,97,1523,1018,9,0,35,71,374,333,74,36,77,9,3183,167,3016,660,2751
"06001404102","14000US06001404102","Census Tract 4041.02, Alameda County, California","Census Tract 4041.02, Alameda County, California","ca","140","00","ACSSF","0002737",,,,,"06","001",,,,"404102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2438,27433.36,0.088869909821976,2438,1680,272,12,299,19,43,113,2438,2220,1615,264,4,286,19,10,22,218,65,8,8,13,0,33,91,1261,31,350,219,76,111,67,134,127,146,1279,1261,114,19,51,95,523,282,88,64,25,0,2282,75,2207,680,1885
"06001404200","14000US06001404200","Census Tract 4042, Alameda County, California","Census Tract 4042, Alameda County, California","ca","140","00","ACSSF","0002738",,,,,"06","001",,,,"404200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3650,3470.43,1.05174271077704,3650,2584,495,0,335,26,16,194,3650,3469,2425,495,0,335,26,7,181,181,159,0,0,0,0,9,13,283,8,37,84,23,59,21,23,28,0,2263,283,0,0,0,6,39,56,56,27,77,22,3650,67,3583,620,3402
"06001404300","14000US06001404300","Census Tract 4043, Alameda County, California","Census Tract 4043, Alameda County, California","ca","140","00","ACSSF","0002739",,,,,"06","001",,,,"404300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3329,4718.362,0.705541492856338,3329,2232,186,0,402,24,197,288,3329,2971,2138,165,0,402,24,0,242,358,94,21,0,0,0,197,46,228,21,74,64,45,8,0,16,0,0,1773,228,0,0,0,0,79,64,24,0,61,0,3329,17,3312,757,3062
"06001404400","14000US06001404400","Census Tract 4044, Alameda County, California","Census Tract 4044, Alameda County, California","ca","140","00","ACSSF","0002740",,,,,"06","001",,,,"404400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5404,3397.427,1.59061547775511,5404,4046,110,0,946,0,0,302,5404,5046,3751,110,0,946,0,0,239,358,295,0,0,0,0,0,63,338,0,163,94,65,0,16,0,0,0,2280,338,0,0,0,0,75,69,33,88,60,13,5404,100,5304,746,5078
"06001404501","14000US06001404501","Census Tract 4045.01, Alameda County, California","Census Tract 4045.01, Alameda County, California","ca","140","00","ACSSF","0002741",,,,,"06","001",,,,"404501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836,4370.91,0.420049822624661,1836,1309,81,0,255,6,34,151,1836,1686,1193,81,0,255,6,0,151,150,116,0,0,0,0,34,0,94,0,40,12,5,12,9,16,0,0,1804,94,0,0,0,5,28,14,4,25,7,11,1836,85,1751,431,1606
"06001404502","14000US06001404502","Census Tract 4045.02, Alameda County, California","Census Tract 4045.02, Alameda County, California","ca","140","00","ACSSF","0002742",,,,,"06","001",,,,"404502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5403,4556.061,1.18589275317106,5403,3950,265,0,702,0,22,464,5403,4964,3567,265,0,702,0,0,430,439,383,0,0,0,0,22,34,282,0,13,156,41,45,0,13,14,0,2262,282,0,0,0,0,0,25,183,16,18,40,5403,175,5228,1234,4771
"06001404600","14000US06001404600","Census Tract 4046, Alameda County, California","Census Tract 4046, Alameda County, California","ca","140","00","ACSSF","0002743",,,,,"06","001",,,,"404600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4347,2332.033,1.8640387523031,4347,3314,202,26,579,31,11,184,4347,4183,3178,202,18,579,31,11,164,164,136,0,8,0,0,0,20,140,0,31,44,26,0,17,9,13,0,2750,140,0,0,10,16,22,0,9,18,57,8,4347,42,4305,1045,3986
"06001404700","14000US06001404700","Census Tract 4047, Alameda County, California","Census Tract 4047, Alameda County, California","ca","140","00","ACSSF","0002744",,,,,"06","001",,,,"404700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2166,4674.27,0.4633878612565,2166,1649,114,4,312,0,20,67,2166,1998,1530,114,0,275,0,20,59,168,119,0,4,37,0,0,8,74,0,11,34,0,6,6,11,6,0,2409,74,0,0,0,0,5,23,11,0,35,0,2166,73,2093,431,1938
"06001404800","14000US06001404800","Census Tract 4048, Alameda County, California","Census Tract 4048, Alameda County, California","ca","140","00","ACSSF","0002745",,,,,"06","001",,,,"404800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2784,11474.33,0.242628537275076,2784,1246,534,34,550,17,91,312,2784,2516,1131,534,18,550,17,50,216,268,115,0,16,0,0,41,96,643,63,191,74,66,103,62,27,27,30,1105,643,40,73,17,117,292,28,45,12,19,0,2784,344,2440,830,1881
"06001404900","14000US06001404900","Census Tract 4049, Alameda County, California","Census Tract 4049, Alameda County, California","ca","140","00","ACSSF","0002746",,,,,"06","001",,,,"404900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3995,10232.55,0.390420727818044,3995,2420,423,14,526,51,140,421,3995,3537,2260,423,14,488,51,16,285,458,160,0,0,38,0,124,136,749,13,161,184,89,60,42,144,43,13,1112,749,25,66,77,134,242,54,81,60,0,10,3995,243,3752,1149,3323
