,Geo_NAME,Total Population,Population Density (Per Sq. Mile),Area (Land),15 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 59 Years,60 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,Median Gross Rent,White Alone (Number of people),Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,Not Hispanic or Latino,Hispanic or Latino,Renter-Occupied Housing Units,Number of units Less than $300 (monthly),$300 to $499,$500 to $799,$800 to $999,"$1,000 to $1,499","$1,500 to $1,999","$2,000 to $2,499","$2,500 to $2,999","$3,000 or More",No Cash Rent,Total,No Health Insurance Coverage,With Health Insurance Coverage,Public Health Coverage,Private Health Insurance,GEOID,TRACTCE,COUNTYFP,NAME,NAMELSAD,INTPTLAT,INTPTLON
28,"Census Tract 4034, Alameda County, California",4360,16955.71,0.257140573624279,162,709,556,285,94,178,161,116,209,1135.0,1807,971,47,1097,0,124,314,3984,376,2470,100,132,333,297,808,417,126,78,117,62,4337,571,3766,1594,2832,6001403400,403400,1,4034.0,Census Tract 4034,37.8026482,-122.2626597
29,"Census Tract 4035.01, Alameda County, California",4435,17184.44,0.258082276829082,68,563,657,120,146,128,286,137,150,1010.0,1640,1091,72,1022,0,74,536,3902,533,2255,277,125,364,333,609,291,132,46,50,28,4435,467,3968,1906,2304,6001403501,403501,1,4035.01,Census Tract 4035.01,37.8177398,-122.2600504
30,"Census Tract 4035.02, Alameda County, California",2081,29539.27,0.0704485889509913,16,345,214,85,65,98,80,0,0,1426.0,1137,423,0,338,0,84,99,1909,172,903,0,6,28,43,463,260,56,36,0,11,2081,188,1893,454,1611,6001403502,403502,1,4035.02,Census Tract 4035.02,37.8159619,-122.25694009999998
31,"Census Tract 4036, Alameda County, California",4751,31569.34,0.150494133563553,55,885,698,284,38,37,102,29,12,1317.0,2042,1457,35,566,4,153,494,4152,599,2140,12,0,35,261,1207,393,190,16,10,16,4641,326,4315,1298,3404,6001403600,403600,1,4036.0,Census Tract 4036,37.8135075,-122.2534803
32,"Census Tract 4037.01, Alameda County, California",2755,41020.64,0.0671613150331198,13,496,385,176,47,66,85,92,112,1306.0,1719,473,0,241,0,90,232,2465,290,1472,11,35,11,179,887,250,85,14,0,0,2716,391,2325,596,2035,6001403701,403701,1,4037.01,Census Tract 4037.01,37.81121339999999,-122.2586656
33,"Census Tract 4037.02, Alameda County, California",2027,26143.26,0.0775343360664219,10,324,227,118,31,48,56,33,0,1621.0,1259,175,0,279,36,130,148,1780,247,847,0,0,40,99,182,404,84,18,10,10,2027,76,1951,524,1626,6001403702,403702,1,4037.02,Census Tract 4037.02,37.8094979,-122.2520933
34,"Census Tract 4038, Alameda County, California",3323,13191.12,0.251911977970554,41,497,354,124,39,50,89,18,9,1477.0,2359,254,0,384,0,40,286,3043,280,1221,10,17,61,131,405,365,143,45,26,18,3323,275,3048,556,2750,6001403800,403800,1,4038.0,Census Tract 4038,37.814822799999995,-122.24166809999998
35,"Census Tract 4039, Alameda County, California",3938,20684.1,0.1903877546923,33,467,305,136,97,180,125,82,47,1379.0,2237,687,12,689,0,97,216,3779,159,1472,0,55,36,142,632,287,62,115,143,0,3938,269,3669,1116,3228,6001403900,403900,1,4039.0,Census Tract 4039,37.817178399999996,-122.2487713
36,"Census Tract 4040, Alameda County, California",2932,20611.42,0.142251238229675,96,463,280,134,96,26,56,10,0,1323.0,1852,190,5,315,31,271,268,2502,430,1161,10,0,9,101,674,244,57,0,27,39,2932,293,2639,527,2413,6001404000,404000,1,4040.0,Census Tract 4040,37.8233126,-122.2536627
37,"Census Tract 4041.01, Alameda County, California",3187,14437.17,0.22074967142704896,79,314,240,90,36,56,57,49,97,1523.0,2245,176,8,379,0,69,310,2971,216,1018,9,0,35,71,374,333,74,36,77,9,3183,167,3016,660,2751,6001404101,404101,1,4041.01,Census Tract 4041.01,37.8300795,-122.249816
38,"Census Tract 4041.02, Alameda County, California",2438,27433.36,0.088869909821976,31,350,219,76,111,67,134,127,146,1279.0,1680,272,12,299,19,43,113,2220,218,1261,114,19,51,95,523,282,88,64,25,0,2282,75,2207,680,1885,6001404102,404102,1,4041.02,Census Tract 4041.02,37.8260219,-122.25106670000001
39,"Census Tract 4042, Alameda County, California",3650,3470.43,1.05174271077704,8,37,84,23,59,21,23,28,0,2263.0,2584,495,0,335,26,16,194,3469,181,283,0,0,0,6,39,56,56,27,77,22,3650,67,3583,620,3402,6001404200,404200,1,4042.0,Census Tract 4042,37.8361135,-122.23446650000001
40,"Census Tract 4043, Alameda County, California",3329,4718.362,0.705541492856338,21,74,64,45,8,0,16,0,0,1773.0,2232,186,0,402,24,197,288,2971,358,228,0,0,0,0,79,64,24,0,61,0,3329,17,3312,757,3062,6001404300,404300,1,4043.0,Census Tract 4043,37.8446717,-122.23810459999999
41,"Census Tract 4044, Alameda County, California",5404,3397.427,1.59061547775511,0,163,94,65,0,16,0,0,0,2280.0,4046,110,0,946,0,0,302,5046,358,338,0,0,0,0,75,69,33,88,60,13,5404,100,5304,746,5078,6001404400,404400,1,4044.0,Census Tract 4044,37.846243,-122.21506880000001
42,"Census Tract 4045.01, Alameda County, California",1836,4370.91,0.420049822624661,0,40,12,5,12,9,16,0,0,1804.0,1309,81,0,255,6,34,151,1686,150,94,0,0,0,5,28,14,4,25,7,11,1836,85,1751,431,1606,6001404501,404501,1,4045.01,Census Tract 4045.01,37.8271275,-122.21715149999999
43,"Census Tract 4045.02, Alameda County, California",5403,4556.061,1.1858927531710601,0,13,156,41,45,0,13,14,0,2262.0,3950,265,0,702,0,22,464,4964,439,282,0,0,0,0,0,25,183,16,18,40,5403,175,5228,1234,4771,6001404502,404502,1,4045.02,Census Tract 4045.02,37.834525899999996,-122.20261550000001
44,"Census Tract 4046, Alameda County, California",4347,2332.033,1.8640387523031001,0,31,44,26,0,17,9,13,0,2750.0,3314,202,26,579,31,11,184,4183,164,140,0,0,10,16,22,0,9,18,57,8,4347,42,4305,1045,3986,6001404600,404600,1,4046.0,Census Tract 4046,37.819858700000005,-122.1912195
45,"Census Tract 4047, Alameda County, California",2166,4674.27,0.46338786125650006,0,11,34,0,6,6,11,6,0,2409.0,1649,114,4,312,0,20,67,1998,168,74,0,0,0,0,5,23,11,0,35,0,2166,73,2093,431,1938,6001404700,404700,1,4047.0,Census Tract 4047,37.813342600000006,-122.20699350000001
46,"Census Tract 4048, Alameda County, California",2784,11474.33,0.24262853727507602,63,191,74,66,103,62,27,27,30,1105.0,1246,534,34,550,17,91,312,2516,268,643,40,73,17,117,292,28,45,12,19,0,2784,344,2440,830,1881,6001404800,404800,1,4048.0,Census Tract 4048,37.8055076,-122.2131962
47,"Census Tract 4049, Alameda County, California",3995,10232.55,0.390420727818044,13,161,184,89,60,42,144,43,13,1112.0,2420,423,14,526,51,140,421,3537,458,749,25,66,77,134,242,54,81,60,0,10,3995,243,3752,1149,3323,6001404900,404900,1,4049.0,Census Tract 4049,37.8041422,-122.22150590000001
48,"Census Tract 4050, Alameda County, California",3248,10510.38,0.309027686614764,0,87,189,95,16,21,57,23,65,1522.0,2209,360,11,394,0,74,200,2998,250,553,58,14,21,41,129,217,16,27,22,8,3239,212,3027,769,2642,6001405000,405000,1,4050.0,Census Tract 4050,37.812085100000004,-122.2190899
49,"Census Tract 4051, Alameda County, California",4265,8791.107,0.48514935204333,4,22,62,32,0,0,30,0,0,1428.0,2809,683,0,445,0,49,279,4129,136,150,0,0,0,9,75,17,16,8,21,4,4265,14,4251,1004,3850,6001405100,405100,1,4051.0,Census Tract 4051,37.811425,-122.2322365
50,"Census Tract 4052, Alameda County, California",5099,15389.83,0.33132277060743104,17,695,354,316,76,174,89,23,23,1368.0,2033,742,56,1397,67,231,573,4255,844,1767,14,11,97,319,587,563,131,16,0,29,5099,196,4903,1380,3935,6001405200,405200,1,4052.0,Census Tract 4052,37.805277000000004,-122.24338780000001
51,"Census Tract 4053.01, Alameda County, California",2899,32967.18,0.0879359286606733,50,488,294,183,79,48,114,42,51,1278.0,1406,733,5,418,7,172,158,2556,343,1349,0,44,107,146,653,249,106,27,17,0,2899,216,2683,849,2182,6001405301,405301,1,4053.01,Census Tract 4053.01,37.8020757,-122.2513558
52,"Census Tract 4053.02, Alameda County, California",2616,33243.91,0.0786910981826943,38,374,315,116,194,66,134,153,36,950.0,905,380,13,850,0,256,212,2090,526,1426,203,29,223,361,308,96,62,129,9,6,2616,321,2295,992,1568,6001405302,405302,1,4053.02,Census Tract 4053.02,37.7985075,-122.2543138
53,"Census Tract 4054.01, Alameda County, California",4087,33718.6,0.12120905579485301,109,428,312,189,128,138,82,62,0,993.0,957,733,52,1536,0,651,158,3076,1011,1448,28,39,196,469,563,115,15,0,0,23,4062,945,3117,1784,1528,6001405401,405401,1,4054.01,Census Tract 4054.01,37.796538399999996,-122.2494562
54,"Census Tract 4054.02, Alameda County, California",3239,29396.93,0.11018159157494199,34,231,299,268,105,16,52,9,10,1138.0,500,964,45,1268,171,162,129,2790,449,1024,18,16,120,179,428,143,61,0,0,59,3170,501,2669,1618,1115,6001405402,405402,1,4054.02,Census Tract 4054.02,37.7933319,-122.2461006
55,"Census Tract 4055, Alameda County, California",4104,25816.78,0.15896637358937601,47,479,236,262,51,89,97,31,19,1128.0,1044,763,58,1816,0,149,274,3617,487,1311,31,22,190,233,593,114,79,23,14,12,4104,470,3634,1740,2131,6001405500,405500,1,4055.0,Census Tract 4055,37.7982821,-122.243279
56,"Census Tract 4056, Alameda County, California",3148,19015.34,0.16555057397949302,53,302,217,142,73,59,92,6,4,1185.0,1350,547,3,871,0,180,197,2473,675,948,36,0,86,175,449,84,25,50,27,16,3148,407,2741,750,2155,6001405600,405600,1,4056.0,Census Tract 4056,37.800801899999996,-122.2372726
57,"Census Tract 4057, Alameda County, California",3701,17528.34,0.21114383541545398,125,303,204,127,112,107,64,0,0,1044.0,766,1215,7,990,0,540,183,2823,878,1042,8,17,144,310,387,134,0,42,0,0,3701,588,3113,1418,1990,6001405700,405700,1,4057.0,Census Tract 4057,37.798230700000005,-122.22967369999999
58,"Census Tract 4058, Alameda County, California",4237,21141.88,0.20040787833766002,102,168,193,188,59,96,13,24,0,1179.0,896,1029,46,1800,12,249,205,3374,863,843,0,6,57,172,383,121,48,19,0,37,4237,635,3602,2083,1751,6001405800,405800,1,4058.0,Census Tract 4058,37.7939452,-122.23309850000001
